Acrobatics;ACROBATICS<br>Subskills: Free-Fall, Gymnastics<br>The Acrobatics Skill covers the character’s grace, balance<br>and training to handle complex—and generally dangerous—<br>physical movement. Modifi ers to typical Acrobatics Skill Checks<br>should include weather and gravity conditions, character<br>encumbrance, terrain diffi culty and the distance the character<br>is moving. Acrobatics comes with two main subskills: Free-Fall<br>and Gymnastics.<br> Free-Fall: Covers all manner of jumping, gliding, unpowered<br>flight and the use of personal jump packs. A successful Acrobatics/<br>Free-Fall Check represents a safe landing. A failed check represents<br>a crash, with the severity of any damage based on the roll’s Margin<br>of Failure.<br> Gymnastics: Covers general feats of agility, balance and<br>grace. Though commonly used for show, Gymnastics also covers<br>a multitude of situations where the character may be trying to<br>move around complex obstacles, negotiate exceedingly difficult<br>terrain, avoid falls due to poor and unstable footing, or ecute<br>short jumps. A successful Acrobatics/Gymnastics Check can help<br>the character pass through diffi cult terrain better than others (in<br>personal combat, this can eff ectively reduce the character’s normal<br>movement costs per turn by 1 MP per point of MoS, to a minimum<br>of 1 MP per meter moved), or avoid damage from falls as high as<br>the Skill’s current level (in meters). A failed Acrobatics/Gymnastics<br>Check can range from a stumble that slows the character down, to<br>a potentially bone-breaking fall.
Acting;ACTING<br>Subskills: None<br> The Acting Skill covers the character’s ability to use language,<br>projection and personality to entertain, misdirect or just plain<br>charm the socks off someone. Typical Acting Skill Checks<br>should take into account conditions that could harm or help the<br>character’s performance (such as whether he lacks the proper<br>attire or props to present a convincing appearance). However, if<br>the subject is particularly skeptical or wary of the acting character,<br>an Opposed Action Check may be in order to properly resolve the<br>use of this Skill.<br> Acting has no subskills, though it can cover a range<br>of specialties covering deception (the art of lying), fast-<br>talk (bombarding a subject with enough superfluous<br>information to overwhelm him), intimidation (using body<br>language and strength of will to cow a subject with implied<br>threats and bluff s), performance (general entertainment<br>acting, including impersonations) and seduction (the art of<br>charming a subject). Characters seeking to emphasize one of<br>these aspects over another are advised to select one of those<br>Acting styles as a specialty.<br>The success (or failure) of an Acting Check determines<br>whether or not the Acting character delivered a credible<br>performance.
Administration;ADMINISTRATION<br>Subskills: None<br> The Administration Skill covers the character’s ability<br>to organize, allocate and track resources for a project—<br>preferably while keeping the entire operation on time and<br>under budget. As this Skill refl ects an abstract and generally<br>universal concept, applicable in business, industrial or<br>military logistics, it has no major subskills, but players may<br>consider an area of specialty to reflect a project type or<br>work sector that is more familiar to them (such as military<br>logistics, business administration, human resources, land<br>management and so forth).<br> Characters with Administration and who maintain a<br>landhold or a business interest, or are actively working in<br>the support chain of a military command, may use this Skill<br>in game play once a month, with the gamemaster assigning<br>modifiers to the standard Skill Check based on any applicable<br>conditions (such as time, budgetary or manpower limits, and<br>demands on the character). Characters with landholds or<br>business interests may use Administration to determine their<br>profit margins on a monthly basis (with a general increase of<br>5 percent per 2 points of MoS, or a loss of 5 percent per MoF<br>point). In all other fi elds, successful Administration Checks<br>may influence whether or not critical supplies, manpower or<br>salaries are received on time.
Animal Handling/Herding;ANIMAL HANDLING<br>Subskills: Herding, Riding, Training<br> The ability to control or infl uence animals, or to interpret<br>their behavior, is governed by the Animal Handling Skill.<br>Modifiers to typical Animal Handling Skill Checks should<br>include the physical and emotional state of the creature being<br>handled, the demeanor of the handler, and any distracting<br>circumstances such as loud noises or other physical stimulus.<br>Animal Handling comes with three main subskills: Herding,<br>Riding and Training. In addition, characters can have specialties<br>focused on a specific creature or class of creatures.<br> Herding: The Herding subskill is used by breeders and<br>ranchers across known space, and includes knowledge of<br>animal diets, life cycles, habitat, behavior and overall animal<br>husbandry. It includes a rudimentary understanding of the<br>animal’s health and its diseases (though it is still no substitute<br>for a veterinarian), but Skill Checks are typically required simply<br>to ensure that a population of animals under the handler’s<br>control is healthy, stable and otherwise well behaved.
Animal Handling/Riding;ANIMAL HANDLING<br>Subskills: Herding, Riding, Training<br> The ability to control or infl uence animals, or to interpret<br>their behavior, is governed by the Animal Handling Skill.<br>Modifiers to typical Animal Handling Skill Checks should<br>include the physical and emotional state of the creature being<br>handled, the demeanor of the handler, and any distracting<br>circumstances such as loud noises or other physical stimulus.<br>Animal Handling comes with three main subskills: Herding,<br>Riding and Training. In addition, characters can have specialties<br>focused on a specific creature or class of creatures.<br> Riding: The Riding subskill is used when mounting tamed<br>animals, and includes the ability to interpret the animal’s<br>behavior as well as the knowledge necessary to properly ride<br>the mount. Similar to Piloting or Driving, Animal Handling/<br>Riding mainly requires Skill Checks when attempting to<br>perform special tasks while mounted, such as avoiding a spill<br>when turning at full speed.
Animal Handling/Training;ANIMAL HANDLING<br>Subskills: Herding, Riding, Training<br> The ability to control or influence animals, or to interpret<br>their behavior, is governed by the Animal Handling Skill.<br>Modifiers to typical Animal Handling Skill Checks should<br>include the physical and emotional state of the creature being<br>handled, the demeanor of the handler, and any distracting<br>circumstances such as loud noises or other physical stimulus.<br>Animal Handling comes with three main subskills: Herding,<br>Riding and Training. In addition, characters can have specialties<br>focused on a specific creature or class of creatures.<br> Training: The Training subskill is used to tame and train an<br>animal for use as a mount. Checks for this Skill are typically<br>made at the end of a training session with the creature, with<br>success indicating that the animal has learned something and<br>failure indicating that the lessons didn’t stick.
Appraisal;APPRAISAL<br>Subskills: None<br>Appraisal is used to determine the relative value or<br>authenticity of an object, and includes suffi cient knowledge<br>of the appropriate market to derive or deduce its monetary<br>value. Appraisal is typically combined with a more academic<br>Interest Skill (see p. 147) and often cannot be obtained<br>without formal education or apprenticeship. Appraisal should<br>be used for objects that have a certain degree of subjective<br>value attached, such as art or historical artifacts, as the value<br>of such objects can be amplifi ed or depressed in a manner<br>separate from normal supply and demand mechanics. For<br>more practical objects—such as electronics, tools and other<br>mechanical or high-tech items—the appropriate Technician<br>Skill is a better choice for identifying value (see p. 157).
Archery;ARCHERY<br>Subskills: None<br>The Archery Skill covers the use of bows and arrows, archaic<br>ranged weapons that discharge a projectile using mechanical<br>force from a drawn bow and string. When wielding bows or<br>crossbows in personal combat, the Archery Skill is used to<br>make the attack.<br>Though the Archery Skill has no subskills, the diff erences<br>between hand-drawn bows and crossbows are significant<br>enough to merit specialization, if the player so desires.
Art;ART<br>Subskills: Various media (Dance, Drawing, Music, Painting,<br>Poetry, Sculpture, Songwriting, Writing and so on)<br> The Art Skill reflects an aesthetic talent the character has<br>cultivated purely as a means of creative expression. Born more<br>of creativity and handiwork than mere study and research, the<br>Art Skill refl ects a range of potential subskills from dancing and<br>music to painting and sculpture. Art Skill Checks are made at the<br>end of the character’s efforts to create (or perform) a work of art,<br>a process that can take hours, days or even years. Roll modifiers<br>should account for the complexity of the work being attempted,<br>the medium and supplies, and whether or not the artist rushed<br>the job. Success means the character executed the work well,<br>while failure indicates a work that, once completed, may not have<br>been worth the hype.<br> Tiered Skill: To refl ect the diff erence between a casual “hobby”<br>artist and a dedicated professional, Art is represented in A Time <br>of War as a Tiered Skill, progressing from simple training at the<br>lowest four levels (0 through 3) to a more advanced and focused<br>form from which true masterpieces can emerge.
Artillery;ARTILLERY<br>Subskills: None<br> The Artillery Skill is used to fire and spot for all kinds of artillery-<br>type weapons, from the single-impulse chemical-propelled<br>projectiles of “tube artillery” to self-propelled artillery missiles<br>like the Arrow IV system. Though used primarily on ’Mechs and<br>vehicles, artillery weapons can also be towed into battle by<br>infantry formations, and so are not considered a simple off shoot<br>of the Gunnery Skill. Indeed, certain infantry-carried Support<br>Weapons (such as mortars) also make use of this Skill.<br> Full rules on the use of artillery in tactical combat are found in<br>Tactical Operations, but additional rules applicable to A Time of<br>War are outlined in the combat chapters of this book.
Career;CAREER<br>Subskills: Various occupations (Examples: Accountant, Cook,<br>Doctor, Soldier and so on)<br> In order to be successful in a given profession, a wide range of<br>skills and knowledge is necessary. The Career Skill is a catch-all that<br>covers the jargon and procedures a character needs to perform<br>the general day-to-day duties of his job such as paperwork,<br>reports to supervisors and the like.<br>Career Skill Checks are used only to resolve tasks that fall within<br>the character’s chosen profession, but that are not adequately<br>represented by the other Skills in this chapter. If the character<br>possesses another Skill that better fi ts a part of his profession,<br>use that Skill instead (even if it is of a lower level). For example, a<br>MechWarrior with the Career/Soldier Skill at Level 3 cannot use it<br>in place of his Level 2 Gunnery/’Mech Skill.<br> The gamemaster must ultimately decide if a particular task in<br>
the character’s job can be resolved using the Career Skill, or must<br>be resolved with another Skill or Attribute Check.
Climbing;CLIMBING<br>Subskills: None<br> The Climbing Skill is necessary when attempting to scale up<br>or down any heights without the benefi t of stairs, ladders or<br>elevators. Though formal training isn’t required to climb relatively<br>simple objects like trees and rocks with a decent slope to them,<br>negotiating the steep rock face of a mountain, clambering up<br>the side of a building or swarming a moving BattleMech requires<br>more than a little practice.<br>Possession of the Climbing Skill allows the character to use<br>Climbing movement in personal combat as a Simple Action<br>(without it, Climbing is not only an untrained Skill, but a Complex<br>Action as well). In addition, this Skill covers knowledge of climbing<br>and rappelling gear.<br>Climbing Skill Checks (when required) may be modified<br>based on how treacherous or diffi cult to climb a surface is, how<br>much weight the character is carrying, and whether or not the<br>character is using any kind of climbing gear suitable for the job.<br>On a successful Climbing Check, a character scales the surface he<br>is climbing; on a failure, he falls. (Merciful gamemasters should<br>consider allowing a failed Climbing Check with a low MoF to<br>represent a momentary slip, on which the character merely loses<br>some distance.)
Communications/Black Box;COMMUNICATIONS<br>Subskills: Black Box, Conventional EM, Hyperpulse Generator<br> The Communications Skill is used for all methods of organized<br>communication. This Skill gives the character an understanding<br>of how to use local communications networks commonly<br>found on any inhabited world, as well as how to transmit and<br>receive data and messages over such networks. Action Checks<br>for this Skill are used most often to establish or tap into a<br>communications network, detect and receive incoming signals,<br>triangulate the source of an unidentifi ed comm signal, or even<br>attempt to jam enemy communications. Other actions related<br>to communications—such as translating coded messages,<br>hacking into automated systems or repairing damaged comm<br>equipment—all require other Skills (Cryptography, Computers<br>and Technician/Electronics, respectively).<br>Skill modifi ers for Communications can include bonuses for the<br>proper equipment (a character cannot use this Skill without some<br>form of communications equipment), and penalties for hostile (or<br>neutral) interference. In some cases, Opposed Communications<br>Checks may even be necessary to resolve an eff ort to overcome<br>an active enemy jamming eff ort.<br>Communications comes with three main subskills, each<br>reflecting a different method of communication used in the<br>thirty-first century: Black Box, Conventional EM and Hyperpulse<br>Generator.<br> Black Box: A top-secret interstellar communications device<br>(often also called a fax because it sends and receives messages<br>as simple text-on-paper), the so-called black box represents<br>a peculiar Star League-era experimental technology based<br>on older pre-HPG communications tech. Its transmissions are faster<br>than light, but slower and more restrictive than hyperpulse<br>technology.Because it remains classified among the few major<br>powers that have samples of this device, formal training in<br>Communications/Black Box is non-existent.
Communications/Conventional EM;COMMUNICATIONS<br>Subskills: Black Box, Conventional EM, Hyperpulse Generator<br> The Communications Skill is used for all methods of organized<br>communication. This Skill gives the character an understanding<br>of how to use local communications networks commonly<br>found on any inhabited world, as well as how to transmit and<br>receive data and messages over such networks. Action Checks<br>for this Skill are used most often to establish or tap into a<br>communications network, detect and receive incoming signals,<br>triangulate the source of an unidentified comm signal, or even<br>attempt to jam enemy communications. Other actions related<br>to communications—such as translating coded messages,<br>hacking into automated systems or repairing damaged comm<br>equipment—all require other Skills (Cryptography, Computers<br>and Technician/Electronics, respectively).<br>Skill modifiers for Communications can include bonuses for the<br>proper equipment (a character cannot use this Skill without some<br>form of communications equipment), and penalties for hostile (or<br>neutral) interference. In some cases, Opposed Communications<br>Checks may even be necessary to resolve an eff ort to overcome<br>an active enemy jamming eff ort.<br>Communications comes with three main subskills, each<br>reflecting a different method of communication used in the<br>thirty-first century: Black Box, Conventional EM and Hyperpulse<br>Generator.<br> Conventional EM: Conventional electromagnetic<br>communications—often referred to by the archaic term “radio”—<br>represents the most basic and accessible form of communications.<br>This subskill covers the use of wired and wireless communications<br>devices, from personal communicators and radios to satellite<br>relay systems and C3 networks, including LOS laser and<br>microwave communicators.
Communications/Hyperpulse Generator;COMMUNICATIONS<br>Subskills: Black Box, Conventional EM, Hyperpulse Generator<br> The Communications Skill is used for all methods of organized<br>communication. This Skill gives the character an understanding<br>of how to use local communications networks commonly<br>found on any inhabited world, as well as how to transmit and<br>receive data and messages over such networks. Action Checks<br>for this Skill are used most often to establish or tap into a<br>communications network, detect and receive incoming signals,<br>triangulate the source of an unidentified comm signal, or even<br>attempt to jam enemy communications. Other actions related<br>to communications—such as translating coded messages,<br>hacking into automated systems or repairing damaged comm<br>equipment—all require other Skills (Cryptography, Computers<br>and Technician/Electronics, respectively).<br>Skill modifiers for Communications can include bonuses for the<br>proper equipment (a character cannot use this Skill without some<br>form of communications equipment), and penalties for hostile (or<br>neutral) interference. In some cases, Opposed Communications<br>Checks may even be necessary to resolve an effort to overcome<br>an active enemy jamming effort.<br>Communications comes with three main subskills, each<br>reflecting a different method of communication used in the<br>thirty-first century: Black Box, Conventional EM and Hyperpulse<br>Generator.<br> Hyperpulse Generator: Ever since the heyday of the Star League,<br>virtually all interstellar communications have been handled<br>by the vast network of hyperpulse generators that link nearly<br>every inhabited world together. Essentially a massive energy<br>cannon, designed to “shoot” ultra-compressed signal batches<br>through hyperspace, the hyperpulse generator (HPG) is the most<br>efficient and secure form of interstellar communications known<br>to thirty-first century humankind, even as the stewards of its<br>technological secrets—ComStar and the Word of Blake—wage war<br>against one another. Only ComStar, Word of Blake and the Clans<br>train people in HPG communications, making this Skill only<br>somewhat easier to come by than Communications/Black Box.
Computers;COMPUTERS<br>Subskills: None<br>The Computers Skill covers the operation or creation of<br>software using computers in the BattleTech universe. While<br>the user interface of most devices is suffi cientl y simple<br>to operate that it takes no training or Skill to accomplish<br>rudimentary tasks, taking full advantage of a computer’s<br>capabilities to access data, conduct in-depth research or hack<br>into sensitive networks requires some form of the Computers<br>Skill. Action Checks for this Skill apply any time the<br>character attempts to do more than browse the system or use<br>ready-made applications (such as word processors, electronic<br>readers or accessing local GPS and interweb networks).<br> Modifiers may apply if the software is outdated, corrupted<br>or just plain incompatible with the system being used, or<br>if the system has been locked against potential hackers.<br> The Computers Skill has no subskills, but the tiered nature<br>of this Skill helps mark the diff erence between computer<br>operations and computer programming. Skilled computer<br>operators can take full advantage of the computer’s<br>capabilities, including the ability to quickly navigate the<br>memory and storage devices attached to the computer to find<br>hidden data, hard-to-reach network sites, and even diagnose<br>software and hardware problems. Programmers, meanwhile, can<br>create, alter and manipulate software, or even hack through<br>software security and fi rewalls to dig up ultra-sensitive<br>data.<br> Tiered Skill: To reflect the diff erence between casual<br>computer operations and more sophisticated programming and<br>hacking, the Computers Skill is represented in A Time<br>of War as a Tiered Skill, progressing from simple computer<br>operations at the Basic four levels (0 through 3) to more<br>advanced programming levels where the user can create<br>and manipulate programs rather than simply running them,<br>and bypass virtual security.
Cryptography;CRYPTOGRAPHY<br>Subskills: None<br>The techniques and process of coding and decoding data is<br>known as cryptography. The Cryptography Skill enables a<br>character to attempt to create and decode communications and<br>data alike. When using this Skill to encode data, the<br>character’s Margin of Success becomes the modifier used by<br>anyone attempting to decode the message without a cipher.<br> (If the check fails, the transmission or data is not properly<br>encoded, and will be automatically translated by anyone who<br>receives the information.)<br> Attempting to decode a message or data with the proper cipher<br>does not require a Cryptography Skill Check as long as the<br>decoding character also has the Cryptography Skill.<br> (If the decoder lacks the Skill, an untrained Skill Check is<br>needed instead.)<br>Encoding or decoding transmissions or data electronically is<br>accomplished within seconds or minutes, depending on the<br>amount of data to be decoded. Encoding or decoding<br>transmissions and data manually can be extremely<br>time-consuming, requiring numerous man-hours.
Demolitions;DEMOLITIONS<br>Subskills: None<br>The ability to rig, use, arm and disarm explosives,<br>as well as determining the best quantity, power<br>and placement of explosive charges, is covered by<br>the Demolitions Skill. While most explosives follow<br>the brute force rule (if it’s not working, you’re<br>not using enough), the safe use of explosives—<br>and, more importantly, the ability to disable<br>them without detonation—requires training.<br>Demolitions Skill Checks are needed any time a<br>character attempts to set up or disable an explosive<br>device. Modifi ers for setting up explosives include<br>diffi culty modifiers for less than ideal placement or<br>insuffi cient explosive materials, or for working with<br>particularly crude or unstable components. The<br>Margin of Success on a successful explosives set-<br>up check will translate into the penalty modifier<br>for anyone attempting to disable the device.<br>There is little margin for error when handling or<br>disarming explosives, which should be reflected by<br>the dire consequences of a failed Demolitions Skill<br>Check. If the character fails to set up an explosive<br>by a MoF of 5 or more, the explosives prematurely<br>detonate, immediately doing their maximum<br>damage to the character. The same result occurs if a<br>character fails a disarming Demolitions Skill Check<br>with any MoF of 3 or more. Any other failed result<br>simply means that the device fails to arm or disarm,<br>respectively.
