Alternate ID;ALTERNATE ID [CHARACTER (IDENTITY)]<br>Trait Type [TP Score]: Positive, Multiple [+2 TP]<br>A character with the Alternate ID Trait has a well-established<br>alias that he or she can call upon in dire circumstances (such<br>as having a price on one’s head from Tharkad to Solaris). More<br>than a mere name, this alias comes with credentials, resources<br>and even an alternate appearance. A character may possess<br>more than one Alternate ID, with each refl ecting a different<br>persona, but if the character has any Identity-dependent<br>Traits, those Traits must be assigned to one of the character’s<br>identities. Identity-dependent Traits are: Alternate ID, Attractive,<br>Bloodmark, Connections, Dark Secret, Dependents, Equipped, In<br>For Life, Property, Rank, Reputation, Vehicle and Wealth. Multiple<br>or Flexible-value Traits may be broken up among the character’s<br>various Identities, but the player should take care to track which<br>identity has which Traits, as tapping the resources of one alias<br>while under another can expose the character to anyone who<br>might dig too deeply into his past.<br>Etc... See p.108
Ambidextrous;AMBIDEXTROUS [CHARACTER]<br>Trait Type [TP Score]: Positive [+2 TP]<br>A character with the Ambidextrous Trait can use both hands<br>equally well (a character without this Trait must select a primary<br>and an “off ” hand during character generation). Ambidextrous<br>characters ignore the off -hand modifier in gameplay and in<br>combat. Though this Trait allows the character to carry and use<br>a weapon equally well with either hand in combat, it does not<br>confer the ability to exceed the normal number of actions allowed<br>in a combat turn.
Animal Empathy;ANIMAL EMPATHY [CHARACTER]<br>Trait Type [TP Score]: Positive, Opposed [+1 TP]<br>A character with the Animal Empathy Trait has a natural gift<br>with creatures, even those he may ordinarily despise. In game<br>play, Animal Empathy imposes a +2 modifi er to all Skill Checks<br>involving animals, such as Animal Handling, Riding and so forth.<br>This eff ect also halves the modifiers (rounding down ) for a<br>creature’s Shy or Aggressive Traits whenever said creature must<br>make a Fight or Flight Check in the character’s presence (see<br>Creatures, p. 238). Creatures without the Aggressive Trait behave<br>as if they have the Shy Trait while in the character’s presence, while<br>creatures with the Shy Trait behave as if Tamed instead. If combat<br>ensues, creatures will attack characters with this Trait last—unless<br>the animal empathic character directly attacks the creature first.<br> The Animal Antipathy Trait opposes the Animal Empathy Trait.<br>If a character with Animal Empathy receives or purchases Animal<br>Antipathy (or vice versa), the Traits cancel each other out.
Animal Antipathy;ANIMAL ANTIPATHY [CHARACTER]<br>Trait Type [TP Score]: Negative, Opposed [–1 TP]<br>A character with the Animal Antipathy Trait manages to bring<br>out the worst in all creatures, great and small. Whether or not the<br>character feels the same way, something about the character<br>makes animals react far more negatively to his presence than<br>they would otherwise. In game play, Animal Antipathy imposes<br>a –2 modifi er to all Skill Checks involving animals, such as<br>Animal Handling, Riding and so forth. This eff ect also doubles<br>the modifi ers for a creature’s Shy or Aggressive Traits whenever<br>said creature must make a Fight or Flight Check in the character’s<br>presence (see Creatures, p. 238). Any creature with the Aggressive<br>Trait will also behave as if it has the Blood Rage Trait while in the<br>character’s presence. If combat ensues, a creature so enraged will<br>attack the nearest character with this Trait first.<br>The Animal Empathy Trait opposes the Animal Antipathy Trait.<br> If a character with Animal Antipathy receives or purchases Animal<br>Empathy (or vice versa), the Traits cancel each other out.
Attractive;ATTRACTIVE [CHARACTER (IDENTITY)]<br>Trait Type [TP Score]: Positive, Opposed [+2 TP]<br>A character with the Attractive Trait has a natural beauty that<br>makes the character more appealing to those attracted to the<br>character’s gender. Characters with this Trait receive a +2 modifier<br>to Skill and Attribute Checks where the character’s CHA Attribute<br>is a factor, if the subject of the roll is attracted to the character’s<br>gender. If the subject is not normally attracted to the character’s<br>gender, a +1 modifier applies, to reflect the disarming charm<br>produced by the character’s comeliness. The Unattractive Trait opposes<br>the Attractive Trait. If a character with Attractive receives or<br>purchases Unattractive (or vice versa), the Traits cancel each other<br>out unless the Attractive Trait is specifically assigned to one of<br>the character’s aliases (in which case, Attractive is treated as<br>an identity-dependent Trait; see Alternate ID, p. 108).
Bloodmark;BLOODMARK [CHARACTER (IDENTITY)]<br>Trait Type [TP Score]: Negative, Multiple [–5 to –1 TP]<br>A character with the Bloodmark Trait has a price on his head<br>and is being actively hunted by bounty hunters looking to collect.<br>The reason for this bounty may stem from a real transgression<br>on the character’s part, a complete fabrication by an enemy<br>with resources and a grudge, or a case of mistaken identity.<br> Bloodmarks are typically tied to one (or more) of the character’s<br>Enemies (see the Enemies Trait, p. 113), but a character who has<br>this Trait in the absence of an Enemy may simply be unaware of<br>who has targeted them in such a fashion.<br> Etc... p.109
Citizenship;CITIZENSHIP/TRUEBORN [CHARACTER (IDENTITY)]<br>Trait Type [TP Score]: Positive [+2 TP]<br>In some Inner Sphere states (and among all the Clans),<br>individual rights and privileges are more severely restricted<br>than they are in most other societies. In the Inner Sphere,<br>citizenship is the term most often used to identify those<br>members of society permitted to own land, vote, gain access<br>to higher education, or even follow certain careers. Among the<br>Clans, this stratifi cation is apparent in the divide between those<br>born of the iron wombs—so-called trueborns—and those<br>born through more conventional methods (“freeborns”).<br> Inner Sphere (Citizenship)<br>An Inner Sphere character that possesses the Citizenship<br>Trait has won the right to be called a citizen in one of the<br>more restrictive realms. Not all realms require this Trait; those<br>Affiliations that have restrictive citizenship requirements are<br>identifi ed in the character creation chapter (see pp. 48-93).<br>Citizenship Traits are identity-based, and so must be<br>assigned to one of the character’s aliases if the character has<br>an Alternate ID (see Alternate ID, p. 108). A character that has<br>multiple Citizenship Traits must distribute them among all<br>aliases as appropriate, with a maximum of one Citizenship<br>Trait per alias.
Citizenship;CITIZENSHIP/TRUEBORN [CHARACTER (IDENTITY)]<br>Trait Type [TP Score]: Positive [+2 TP]<br>In some Inner Sphere states (and among all the Clans),<br>individual rights and privileges are more severely restricted<br>than they are in most other societies. In the Inner Sphere,<br>citizenship is the term most often used to identify those<br>members of society permitted to own land, vote, gain access<br>to higher education, or even follow certain careers. Among the<br>Clans, this stratifi cation is apparent in the divide between those<br>born of the iron wombs—so-called trueborns—and those<br>born through more conventional methods (“freeborns”).<br> Clan Characters (Trueborn)<br>Among the Clans, only those individuals spawned in the iron<br>wombs can claim to be known as trueborns. Only a trueborn<br>Clan character is eligible to receive a Bloodname Trait (the<br>Clan equivalent of Title; see p. 126), and with it, a voice in Clan<br>politics. Trueborn Clansmen must select a Phenotype Trait as<br>well (see p. 121), and begin life as part of the Warrior Caste<br>(through trueborns can still wash out of training or leave the<br>Warrior Caste through other means).<br> The Trueborn Trait refl ects a birth status in the Clans. It<br>cannot be faked, but it can be concealed to some extent if the<br>character takes on any alternate identities. A Clan character<br>with a Trueborn Trait and one or more Alternate ID Traits can<br>assign the Trueborn Trait to only one of these identities, but<br>that identity must be the character’s primary identity (the one<br>he or she was actually born to). Bloodnames do not transfer<br>between aliases.
Combat Paralysis;COMBAT PARALYSIS [CHARACTER]<br>Trait Type [TP Score]: Negative, Opposed [–4 TP]<br>A character with Combat Paralysis tends to freeze up in stressful<br>situations, especially combat. In game play, characters with this<br>Trait roll Initiative using the worst two dice of 3D6. Furthermore,<br>a character a? icted with Combat Paralysis may not seize the<br>initiative, and must therefore act only during his own Action Phase.<br> In Tactical Combat, this Trait has no eff ect unless the character is<br>in command of a force, or is separated from his force commander<br>under the optional Out-of-Contact rule (see p. 204).<br> In stressful situations outside of combat where quick reactions<br>are vital, the gamemaster may require a character with Combat<br>Paralysis to make a successful WIL Attribute Check to act in a<br>timely manner. Failure on this roll means the character delays for<br>one turn (5 seconds) before acting.<br> The Combat Sense Trait opposes the Combat Paralysis Trait. If<br>a character with Combat Paralysis receives or purchases Combat<br>Sense (or vice versa), the Traits cancel each other out.
Combat Sense;COMBAT SENSE [CHARACTER]<br>Trait Type [TP Score]: Positive, Opposed [+4 TP]<br>A character with Combat Sense is in his<br>element during stressful situations, especially<br>combat. In game play, characters with this Trait<br>roll Initiative using the best two dice of 3D6<br>(as if Initiative itself were a Natural Aptitude),<br>and reduce the combat modifi er for Stun or<br>Surprise to +1 (from +2). In Tactical Combat,<br>this Trait has no eff ect unless the character is<br>in command of a force, or is separated from<br>his force commander under the optional Out-<br>of-Contact rule (see p. 204).<br> In stressful situations outside of<br>combat where quick reactions are vital,<br>the gamemaster may also apply a +1 roll<br>modifi er to any Action Check the character<br>performs where stress or fear are a factor<br>(such as resisting the intimidation eff ects of a<br>creature’s Terror Trait, or disarming a bomb as<br>its timer races through its last 15 seconds).<br> The Combat Paralysis Trait opposes the<br>Combat Sense Trait. If a character with<br>Combat Sense receives or purchases Combat<br>Paralysis (or vice versa), the Traits cancel each<br>other out.
Compulsion;COMPULSION [CHARACTER]<br>Trait Type [TP Score]: Negative, Multiple [–5 to –1 TP]<br>A character with a Compulsion Trait has an irrational tendency<br>toward some kind of negative behavior, ranging from a minor quirk<br>like fear of heights or a superstition, to a more serious addiction<br>to drugs or alcohol. In more extreme cases, a compulsion can take<br>the form of madness, where stress can trigger a dramatic and<br>emotional episode.<br> The level of a Compulsion Trait determines how severely<br>detrimental it is to the character’s behavior in game play, but player<br>and gamemaster should thoroughly discuss the cause and nature<br>of each compulsion beforehand to get a feel for what may or may<br>not set it off . The Compulsion Trait Table below provides basic rules<br>and examples of how severely this Trait will aff ect a character. Etc... See p.110
Connections;CONNECTIONS [CHARACTER (IDENTITY)]<br>Trait Type [TP Score]: Positive, Multiple [+1 to +10 TP]<br>A character with the Connections Trait can potentially call<br>upon the aid of contacts and resources, given enough time<br>and a credible means to do so. This Trait’s TP score provides<br>a guide for how powerful such connections are, and how<br>easy it is for a character who has them to fi nd contacts at any<br>given time—as well as how often a character may be able to<br>tap his connections.<br> The Connections Trait can be a powerful tool in the hands<br>of a crafty player character, so gamemasters must balance the<br>character’s process for fi nding and using this Trait against the<br>character’s situation and demands. For example, a character<br>stationed on a depopulated outpost in the Periphery, without<br>benefi t of a working HPG, will be unable to call on his<br>connections to deliver him fi ne caviar from Tharkad before it<br>spoils. The gamemaster should also determine whether local<br>connections might ask for something in exchange for their<br>services (and what that might be). 
